Fault Class,XGBoost,LSTM,LSTM-FCN,CNN-Transformer,TransKal
0,0.7354541025854605,0.9689385560333149,0.9729846122202368,0.97104848836394,0.9706694801457894
1,0.993899095361495,0.9996097324207412,0.9992448915270263,0.9996753001833406,0.9987170863751949
2,0.9925647987530483,0.999796629294566,0.9995534189718128,0.9999409483691908,0.998982639230744
4,0.9672472629470111,0.999580223268749,0.9997601847562919,0.999917985729517,0.9999934297409346
5,0.9914728876730207,0.9991739113331498,0.9993499629019232,0.9922714813102671,0.999379491708499
6,0.999987499843748,0.9982766867829084,1.0,0.9999540661316465,0.9991334716277604
7,0.9999718743847522,0.9993737520123545,0.9999835745142163,0.9999147054385125,0.9989728039171286
8,0.9571808154760767,0.9949006713787876,0.9959893576386603,0.9972563717156866,0.9958270805360293
10,0.8679504124983557,0.9925461898342717,0.993936917581621,0.993652173340445,0.9924022819626998
11,0.8949007777146551,0.9987056844760979,0.9998094311849437,0.9996816655782036,0.9996682226259029
12,0.9378013756636906,0.9650148528220361,0.9765191716873479,0.9688724530586327,0.959289381016246
13,0.9493601166369674,0.9849956571610431,0.9909041349346638,0.9886171531612757,0.9844296070456194
14,0.9878299579910966,1.0,1.0,1.0,1.0
16,0.8945371141224577,0.9972143933931966,0.9985993937281772,0.9987596716082925,0.9991224408633604
17,0.9574603012737372,0.9963334759569497,0.9963748670619961,0.9951837252652239,0.9949828429679198
18,0.9470973648822637,0.9582495147344274,0.9706742472512212,0.957191075438853,0.9504793483745405
19,0.9421937398386817,0.9989327781590588,0.9990738794598287,0.9996817741909027,0.9995993273954967
20,0.9322237275014515,0.9937591788914374,0.9939906976130906,0.993913749513166,0.994078342993477
