fault_class,samples,accuracy,detection_rate,avg_confidence,most_confused_with,confusion_rate,detection_latency_steps,detection_latency_minutes
0,518,0.35714285714285715,0.35714285714285715,0.6520392842964776,8,0.4575289575289575,,
1,21,0.47619047619047616,0.47619047619047616,0.7819205153556097,8,0.42857142857142855,5.0,15.0
2,21,0.5714285714285714,0.5714285714285714,0.8384997461523328,0,0.23809523809523808,9.0,27.0
4,21,0.9047619047619048,0.9047619047619048,0.9318816065788269,0,0.047619047619047616,1.0,3.0
5,21,0.8095238095238095,0.8095238095238095,0.8418816924095154,12,0.09523809523809523,2.0,6.0
6,21,0.9523809523809523,0.9523809523809523,0.9941373921576,0,0.047619047619047616,1.0,3.0
7,21,0.9523809523809523,0.9523809523809523,0.9892846601349967,0,0.047619047619047616,1.0,3.0
8,21,0.5238095238095238,0.5238095238095238,0.5626389866783506,0,0.3333333333333333,3.0,9.0
10,21,0.0,0.0,0.6666985977263677,8,0.6190476190476191,,
11,21,0.7142857142857143,0.7142857142857143,0.8340988343670255,0,0.14285714285714285,4.0,12.0
12,21,0.6666666666666666,0.6666666666666666,0.8220041734831673,8,0.19047619047619047,5.0,15.0
13,21,0.0,0.0,0.7172095392431531,8,0.7142857142857143,,
14,21,0.8095238095238095,0.8095238095238095,0.9400505537078494,0,0.14285714285714285,3.0,9.0
16,21,0.7142857142857143,0.7142857142857143,0.8559171727725438,0,0.19047619047619047,6.0,18.0
17,21,0.2857142857142857,0.2857142857142857,0.7628887125423977,8,0.42857142857142855,15.0,45.0
18,21,0.5714285714285714,0.5714285714285714,0.8299215109575362,0,0.19047619047619047,9.0,27.0
19,21,0.7619047619047619,0.7619047619047619,0.8573721519538334,0,0.09523809523809523,1.0,3.0
20,21,0.09523809523809523,0.09523809523809523,0.6723083754380544,8,0.5714285714285714,15.0,45.0
